index,Ngram,Year_Added,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
sh00002031,eating disorders in men,2000,5.151075919973547e-11,4.120860735978837e-11,4.516053387730127e-11,3.8709029037686804e-11,9.274309494980822e-12,9.274309494980822e-12,9.274309494980822e-12,1.7832953367959347e-11,3.474170950923394e-11,3.400626209198216e-11,6.747898668406954e-11,1.5421119540067908e-10,1.5421119540067908e-10,2.8003052654490546e-10,5.776302105282253e-10,6.42409572957993e-10,7.103615543013752e-10,8.223450928149641e-10,8.207433185461862e-10,9.786240424176323e-10,9.79907325421303e-10,9.119522552788631e-10,1.022598108869304e-09,1.0744080060155957e-09,1.1571419571540113e-09,1.2695612086412375e-09,1.4232855350642432e-09,1.6507066051353802e-09,1.7161197527521782e-09,1.9340331285882292e-09,2.2477511469173474e-09,2.34578402882879e-09,2.4698615280958703e-09,2.5408261125030904e-09,2.457145318066464e-09,2.8479633790157166e-09,2.6901018813323726e-09,2.59241110919398e-09,2.649518412207413e-09,2.7077759102394387e-09,3.032094728072643e-09,3.228950321406846e-09,3.1649517649525093e-09,3.324211469582902e-09,3.5022974203308924e-09,3.638794858022247e-09,3.834715273098865e-09,3.5563392994375498e-09
sh00004216,male comedians,2000,7.080788455571252e-10,6.939699717656289e-10,6.786551517516207e-10,6.314593818073406e-10,6.69258869057903e-10,6.602516232158605e-10,6.572590606688879e-10,6.578776551302568e-10,7.26725688555379e-10,8.098690141130785e-10,1.0045049390497836e-09,1.034920044503832e-09,1.0536986585842266e-09,1.0585748651656004e-09,1.1305778064732826e-09,1.1512123724537788e-09,1.2947108276357383e-09,1.3255164530474278e-09,1.3252367710159252e-09,1.4861078117108952e-09,1.5867765588587333e-09,1.6572605941337198e-09,1.87701531599384e-09,1.9041845372317188e-09,2.0289041924700537e-09,2.1605761366513423e-09,2.5048323018924836e-09,2.7632023549233646e-09,2.9625332083338396e-09,2.9482863467068997e-09,3.045547341599754e-09,3.133416180788646e-09,3.217570933895202e-09,3.0886884597577537e-09,2.9882388166107314e-09,2.9642622007790872e-09,3.2242737289602174e-09,3.356708726452519e-09,3.531416105968204e-09,4.086272979213014e-09,4.264051055203571e-09,4.6123540512715046e-09,4.787046008104217e-09,4.851584874418899e-09,5.117502861453785e-09,5.1975122163326155e-09,4.967674575168113e-09,5.057125011288799e-09
sh2001000234,asian american men,2001,5.771824381287094e-10,5.500664791713294e-10,5.432918224098267e-10,7.385008388546436e-10,7.33126014261311e-10,7.7481931337212e-10,8.433937030903418e-10,9.381832562811126e-10,9.943431564241045e-10,9.970678038167297e-10,1.0343265534737016e-09,1.2873097285569038e-09,1.979369207725076e-09,2.9285587308366547e-09,3.3833395509822297e-09,4.328585365143134e-09,5.7208384418583336e-09,6.899829550964322e-09,8.450023329862967e-09,1.1986606114424068e-08,1.4332498555044308e-08,1.5837238459151922e-08,1.7678907488732117e-08,1.9010540903379488e-08,2.0233458154970766e-08,2.113089240093505e-08,2.0760648478113097e-08,2.0586620491647164e-08,2.1484730462960144e-08,2.1661738038223988e-08,2.204513674782963e-08,2.6505455187818072e-08,2.640390043908068e-08,3.09386935277394e-08,3.3286186224001924e-08,3.270796960259352e-08,3.287892930137204e-08,3.7033330806719126e-08,3.363198411035892e-08,3.383036388328518e-08,2.8237011324388254e-08,2.5963368574125464e-08,2.6605743766846705e-08,2.8281953826489063e-08,2.429587302772112e-08,2.3945730713107828e-08,2.4706419776698853e-08,2.5693787319980288e-08
sh2001002046,depression in men,2001,4.066497727960028e-09,4.379284917338523e-09,4.422965599095349e-09,4.304660928306741e-09,4.287284723169288e-09,4.368704231705323e-09,4.503148216420236e-09,4.095044293740889e-09,3.73786909460153e-09,3.520258841867495e-09,3.3758551980630653e-09,3.137984975040301e-09,3.4084051791267403e-09,3.119923308790375e-09,3.2676084110331136e-09,3.282143210984031e-09,3.1396770253100396e-09,3.2396927442311453e-09,3.339029188559328e-09,3.060627244699799e-09,3.543280994999787e-09,4.351402002611415e-09,4.476259298740499e-09,5.3283691992375306e-09,5.656853498522566e-09,6.3477381897452435e-09,7.241494775846379e-09,7.881933826348845e-09,7.647683504827648e-09,8.757534660250708e-09,8.937833811851442e-09,1.0109355630890027e-08,1.0214063964163785e-08,1.0492019345593421e-08,1.0670665448464513e-08,1.1042696342155362e-08,1.0523683356788198e-08,1.0645432173173835e-08,9.969373771452824e-09,9.78152162194244e-09,9.505555673436759e-09,9.173773197935457e-09,8.781435744239667e-09,8.925648501550976e-09,8.68061601915136e-09,8.618760114741572e-09,8.789251305235669e-09,8.669698309954343e-09
sh2001006263,male caregivers,2001,3.607364256266732e-09,2.964357184720434e-09,2.537195548564982e-09,2.267141117697134e-09,2.369965932827852e-09,2.3294474176974565e-09,1.5690502855325583e-09,1.4653929706580954e-09,1.8624650829516096e-09,2.1840310229979755e-09,2.8049861481146563e-09,3.660217701349579e-09,5.947460504244059e-09,6.156477676861576e-09,7.183964081847975e-09,7.932690457389853e-09,8.581932009278847e-09,8.700279827431442e-09,8.945471113356943e-09,7.707025755187319e-09,8.614638632402955e-09,9.274673324483063e-09,9.922762160056797e-09,1.2305196596296934e-08,1.2715655483414025e-08,1.2869344122610045e-08,1.2720854748043964e-08,1.2715999488496379e-08,1.2700623913179465e-08,1.2077385769546486e-08,9.894493404664717e-09,1.0094476532936301e-08,1.030764689376383e-08,1.0511071546878296e-08,1.006405154253225e-08,1.0162545681963967e-08,1.0662438258701725e-08,1.1198866154852168e-08,1.1573450853428838e-08,1.2021668138144966e-08,1.2460402564414195e-08,1.3179997395557086e-08,1.2764341575774043e-08,1.2653471969619506e-08,1.2075134322997448e-08,1.196813635464163e-08,1.1472593968581135e-08,1.0844922284855563e-08
sh2001006294,gifted men,2001,3.8769913706521164e-08,3.8676152737393556e-08,3.746488753605948e-08,3.6811050950491524e-08,3.5514698484145895e-08,3.423819371321207e-08,3.284343726398758e-08,3.2897380247004504e-08,3.1583827285166666e-08,3.154904704447522e-08,3.0675144067706025e-08,3.0219835503541326e-08,3.000916207444264e-08,2.9352715659359503e-08,2.8239619098008314e-08,2.7337288533078674e-08,2.6667034406572887e-08,2.6719860315894362e-08,2.6946688200742338e-08,2.7010212041691673e-08,2.7105533205848013e-08,2.7550038368684415e-08,2.869778519037517e-08,3.0507508334534246e-08,3.0865771160685865e-08,3.1785858903783856e-08,3.2583074977693416e-08,3.4527750803818395e-08,3.5980940327889905e-08,3.776701304222015e-08,3.914301315765693e-08,4.197688541951064e-08,4.3702340902864104e-08,4.528686978497573e-08,4.532981642724992e-08,4.5884405843307375e-08,4.6796175233454473e-08,4.7544831137589864e-08,4.677940531169371e-08,4.6651527711815444e-08,4.6577609813227716e-08,4.6197186150418294e-08,4.4651060461630455e-08,4.3795719247107546e-08,4.5235551886136615e-08,4.542023440054037e-08,4.516421190994823e-08,4.5494011949136215e-08
sh2001008086,learning disabled men,2001,0.0,0.0,9.433676640783576e-12,8.086008549243066e-12,8.086008549243066e-12,8.086008549243066e-12,1.550509324107655e-11,1.550509324107655e-11,1.550509324107655e-11,5.271831731078004e-11,8.224982946709273e-11,8.224982946709273e-11,8.224982946709273e-11,7.483074477525925e-11,7.483074477525925e-11,7.483074477525925e-11,3.6264318433097484e-11,6.732806276784789e-12,5.484401177250194e-11,1.1099841284207506e-10,1.3939547532133238e-10,1.6697037800003248e-10,1.6697037800003248e-10,1.7382682049712654e-10,2.137090162573114e-10,1.7197543538048446e-10,1.4806332598474702e-10,1.2640596704281496e-10,1.3947254858973476e-10,1.7986339996754555e-10,1.8011234170778323e-10,1.8567243080326787e-10,2.0232422979057522e-10,1.7784839077629652e-10,2.1440148515699294e-10,1.8615120110048496e-10,1.7534333261142494e-10,1.9094219608217777e-10,1.4549991122650826e-10,2.0836509254107405e-10,2.547943324580717e-10,2.4297197438540227e-10,2.3058077421629035e-10,2.009977913275396e-10,1.7156073734267022e-10,2.001541935664486e-10,1.1993258539066965e-10,5.507326972936655e-11
sh2001008091,men with mental disabilities,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.368181148021847e-12,8.368181148021847e-12,8.368181148021847e-12,8.368181148021847e-12,3.1330055613335415e-11,3.1330055613335415e-11,3.897913985631948e-11,3.826655163376356e-11,4.6005682398573915e-11,6.179375463702793e-11,6.179375463702793e-11,3.883188017171437e-11,7.581918228170638e-11,9.081140551838094e-11,1.1259971030971475e-10,1.542480022677571e-10,1.667876630457548e-10,1.74173573381469e-10,1.8898412993248063e-10,1.666485183975703e-10,1.5149905437304512e-10,1.4652188886791047e-10,1.2187501900541775e-10,1.10180748453497e-10,1.1600668639985149e-10,1.0119612984883984e-10,8.654443927375815e-11,9.470386776376318e-11,1.0090356724771051e-10,9.13584019942729e-11,8.294457283706893e-11,8.643624209238508e-11,9.385313508501549e-11,9.385313508501549e-11,1.0848672902479578e-10,9.079034688404726e-11,8.767487361116544e-11,9.520923372613455e-11
sh2001012439,male language,2002,2.447160179358532e-09,2.5658379421145125e-09,2.681743678974631e-09,2.9952069356488563e-09,3.262334135473166e-09,3.89388857070992e-09,4.304378697718635e-09,4.820763329202052e-09,5.166030572569178e-09,5.762427336884558e-09,6.116078154344561e-09,6.482508527987691e-09,7.113011954737854e-09,7.454974585568985e-09,7.619779750123973e-09,8.267692587097094e-09,8.858855028516721e-09,9.4414673514858e-09,9.865991611477228e-09,9.862954376331303e-09,1.0411826194366743e-08,1.0801478781348658e-08,1.082355530796735e-08,1.0745641061484155e-08,1.0361031660609056e-08,1.0209627732523812e-08,1.0133366639844941e-08,9.897229352046066e-09,9.869845587147572e-09,9.547290858189346e-09,9.405126819711507e-09,9.599050610427573e-09,9.802827004995462e-09,9.581472492894586e-09,9.24984232165376e-09,9.200457612038423e-09,9.950360539491754e-09,1.0058850936713248e-08,1.0843224746664199e-08,1.0848034785935847e-08,1.1050944933945126e-08,1.124863118920746e-08,1.1437634829327059e-08,1.1281107567936592e-08,1.057467675528009e-08,9.73951523828657e-09,9.660263181054951e-09,9.642340486823442e-09
sh2002002243,bahai men,2002,3.8182599443326026e-11,3.054607955466082e-11,2.5455066295550683e-11,2.1818628253329156e-11,1.4257182735986719e-11,8.022013608943723e-11,8.681428393624608e-11,7.255710120025936e-11,7.255710120025936e-11,7.255710120025936e-11,7.916226057605843e-11,7.916226057605843e-11,1.3199307222607918e-11,6.6051593757990695e-12,6.6051593757990695e-12,6.6051593757990695e-12,6.6051593757990695e-12,0.0,0.0,6.3190831535640615e-12,3.19869656555711e-11,3.19869656555711e-11,4.4117682721342024e-11,4.4117682721342024e-11,5.0177018789954175e-11,8.50891752890437e-11,8.468909849195555e-11,7.761363922585498e-11,8.385482387827738e-11,8.417787498794991e-11,1.355994721270142e-10,1.4367883222462678e-10,1.1594656584052692e-10,1.2459650474059914e-10,1.060040815046927e-10,1.1141738077781658e-10,9.896361260237313e-11,4.754201546330883e-11,3.340331929708411e-11,2.6223429182094448e-11,5.5558035354825415e-11,5.5558035354825415e-11,4.3903551429279124e-11,8.130445919693078e-11,8.130445919693078e-11,9.485520239641924e-11,1.1382624287570309e-10,6.54515885933904e-11
