Ngram,Year_Added,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sh00001677,vāstu,2000,4.334116381760067e-10,3.8432309418245936e-10,3.8113736125500175e-10,4.009760370959903e-10,4.293829964204957e-10,4.2041849862561875e-10,4.4974285902586534e-10,4.204619400665394e-10,4.58888664170828e-10,5.042484039446166e-10,4.848193265500583e-10,5.2542107073902e-10,4.6516454477967575e-10,4.163120329620756e-10,4.724135076183966e-10,5.084111331337444e-10,7.28672259931689e-10,7.473766095088066e-10,7.777908540443753e-10,7.473853896877714e-10,2.124735006488386e-09,2.0562356936196633e-09,2.0885679079065055e-09,1.8545120419480708e-09,1.911012495073702e-09,1.8032313940652411e-09,1.8028814215341272e-09,4.699020190814173e-10,9.875284384873252e-10,8.864586381409e-10,9.065695550409497e-10,8.677800992665638e-10,1.1237091842348462e-09,1.2566768498827636e-09,1.2755557750916096e-09,8.475306081945355e-10,1.0414403149385164e-09,1.028833462868306e-09,9.640157214163558e-10,7.422016205991889e-10,7.380304889051789e-10,1.034128220556152e-09,1.0209365981585427e-09,8.586996976573629e-10,1.0324412108971994e-09,1.2232126680603426e-09,1.3759517374684854e-09,1.4476620249781469e-09,1.2237453023145051e-09,1.3614761158742272e-09
sh00002340,beltane,2000,1.8155498741553866e-08,1.8283777060423835e-08,1.8168295133393537e-08,1.9179864678618508e-08,1.8318775765151822e-08,1.850057011853241e-08,2.043982267964571e-08,2.093733147372807e-08,2.142627351732683e-08,2.231066884414038e-08,2.1987259173072978e-08,2.347532485267946e-08,2.3346053904566803e-08,2.269581427159574e-08,2.5022265721731862e-08,2.594977407855652e-08,2.5923769994749627e-08,2.8117175340989864e-08,2.8880341091822422e-08,3.0179237490990385e-08,3.4553991611460267e-08,3.6308621364460654e-08,4.1056924751846155e-08,4.645868145648173e-08,4.8057050887340136e-08,5.462539944783057e-08,6.173907755273918e-08,6.324320728422008e-08,6.9558405214292e-08,7.217311924490044e-08,7.49167954636595e-08,7.832765951616891e-08,7.91556436121372e-08,7.82598393257331e-08,9.136119649154537e-08,8.900021140355516e-08,9.049968837372493e-08,9.280868752036978e-08,1.0345498929208361e-07,1.0748628998019253e-07,1.1412765377095363e-07,1.0664462562541356e-07,1.131499494248987e-07,1.1592309263203093e-07,1.1695713134581207e-07,1.1582572345779958e-07,1.3271789413888637e-07,1.3561328914002413e-07,1.4100210068979102e-07,1.4645221682249576e-07
sh00002345,agitation,2004,7.2192553555224664e-06,7.016989079673687e-06,6.806183990285219e-06,6.587396731081876e-06,6.245371113234845e-06,5.879331861309071e-06,5.6689926118293815e-06,5.5297066695950145e-06,5.370709668269664e-06,5.2742644063659025e-06,5.254533184927431e-06,5.209494853607562e-06,5.174465485560465e-06,5.1304309600320624e-06,5.040777067776499e-06,5.028573087314387e-06,4.989597999276472e-06,4.932669788147219e-06,4.851341176864203e-06,4.786438854360269e-06,4.684640732207209e-06,4.61707165782443e-06,4.533436408283536e-06,4.4784181118172135e-06,4.445707312856344e-06,4.469592394428155e-06,4.463283417524259e-06,4.5121926678109395e-06,4.543491139838329e-06,4.56134845598495e-06,4.602957843887915e-06,4.661875269356548e-06,4.7222492345007565e-06,4.840346115306558e-06,4.921902395396495e-06,5.084868707476431e-06,5.1990717245453285e-06,5.221259715882922e-06,5.20428734531096e-06,5.132296890439519e-06,5.1239963813115166e-06,5.119935810287253e-06,5.115023612604412e-06,5.093236405546094e-06,5.3022376509457324e-06,5.642909702533687e-06,5.8631190183259976e-06,5.96072310909447e-06,6.108577212196598e-06,6.232504426689767e-06
sh00002461,guilt in children,2000,9.92358964099771e-10,9.442623016830964e-10,9.187661696256437e-10,9.195794106345697e-10,9.95477032155507e-10,9.90886826955441e-10,1.030213661898768e-09,1.0948727118384063e-09,1.0609012611858697e-09,1.1347975986476998e-09,1.2064895674774548e-09,1.2353198756579318e-09,1.29687072836623e-09,1.251412572277661e-09,1.2672151914115494e-09,1.3167551121882693e-09,1.68250239782064e-09,1.953555068208633e-09,2.055326091365035e-09,2.067320622725236e-09,2.118249336848153e-09,1.98501335061623e-09,2.0465421049299854e-09,1.629126237186394e-09,1.5965288937111068e-09,1.708887535942624e-09,1.7414527285486423e-09,1.7709249002755595e-09,1.8995399613371983e-09,2.013310359201746e-09,2.1740102847905045e-09,1.9599802837269984e-09,1.881741380275827e-09,1.923673633084734e-09,2.0360317925674896e-09,1.9499321269759016e-09,1.9810343251737616e-09,1.948056750137951e-09,2.0585029995063527e-09,2.004344989832231e-09,2.103345172388019e-09,1.9872533675679187e-09,1.936169322835516e-09,1.8368826665579994e-09,1.7037855280887288e-09,1.5443685861399326e-09,1.5312314184469575e-09,1.327920306123017e-09,1.2685365646802895e-09,1.37074144396232e-09
sh00002463,parapsychology and sex,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2774262798347686e-11,1.2774262798347686e-11,1.8526787247198838e-11,8.208244798143686e-11,1.525846235076297e-10,2.200862071953326e-10,2.910764288329862e-10,3.641990270871912e-10,4.4157108822614633e-10,5.064702070432605e-10,4.429145463090224e-10,4.0329180471333967e-10,3.840946687689544e-10,3.765974040551409e-10,3.2803865576295065e-10,2.834177634644267e-10,2.1276612019846145e-10,2.1276612019846145e-10,1.8188668626795135e-10,1.3358223852463373e-10,7.008928160079364e-11,3.275116884043123e-11,0.0,0.0,0.0
sh00002470,worry in children,2000,0.0,0.0,0.0,0.0,0.0,0.0,8.036431143570206e-12,1.606284202870789e-11,1.606284202870789e-11,1.606284202870789e-11,2.389966944587358e-11,3.1529468024522296e-11,6.858694217729396e-11,6.055051103372376e-11,8.927706689000813e-11,9.651114183622285e-11,1.0341969691344107e-10,9.558286949627537e-11,8.795307091762668e-11,8.415565516276376e-11,8.415565516276376e-11,8.024903013928836e-11,7.937730135885801e-11,1.0467554303498058e-10,1.5019745169819743e-10,2.332301618699985e-10,2.3148029971006446e-10,3.1776816842537283e-10,4.582554479730978e-10,5.495114983084764e-10,5.951911389341052e-10,6.967204035923658e-10,7.854814115605877e-10,9.757711171803113e-10,1.0762054476753935e-09,1.0469610352281666e-09,1.0985932307710262e-09,1.1548858184257898e-09,1.277679700135386e-09,1.1847108849494248e-09,1.1430424127053686e-09,1.1559432895007812e-09,1.123991088694939e-09,1.1085160587073364e-09,1.2029500391839777e-09,1.0091343836948763e-09,1.1055470829476492e-09,1.0796515955563413e-09,1.0161096082594857e-09,1.0738972463023022e-09
sh00009786,lammas,2000,8.414321123195734e-08,7.95325484942433e-08,7.615804803693764e-08,7.5249276026582e-08,7.002607065489146e-08,7.590986709305311e-08,7.783918714201238e-08,7.95850526893817e-08,8.548867670908424e-08,9.618443191916626e-08,1.0603281924208088e-07,1.2131737849079998e-07,1.1859189128979318e-07,1.3031108688786796e-07,1.3130840372016108e-07,1.3264325473658872e-07,1.3264937618120973e-07,1.3107345087478732e-07,1.243351475309153e-07,1.2259176702647139e-07,1.131843891854659e-07,1.1264718249314106e-07,1.1177942684158026e-07,1.0838951707995265e-07,1.0484317914929589e-07,1.0586054779100826e-07,1.0439494862219638e-07,1.0784158483969789e-07,1.1010180139428957e-07,1.1041139043520077e-07,1.1170276725863282e-07,1.1211646918749777e-07,1.1036793929221951e-07,1.128989046897994e-07,1.1108648132414554e-07,1.0743320706117975e-07,1.0896828621029253e-07,1.1470064643914757e-07,1.173308608286889e-07,1.2098822611505767e-07,1.2125929984251047e-07,1.2109984804600199e-07,1.2417214999456416e-07,1.2488800942879463e-07,1.1715061760036013e-07,1.1995928829370323e-07,1.1598361460686347e-07,1.1578906155297145e-07,1.176354850765393e-07,1.1911289741518838e-07
sh00009791,quindecile,2000,3.100887654289286e-10,2.480710123431429e-10,2.0672584361928573e-10,1.9370177386671524e-10,8.547409853311625e-11,5.890447405636808e-11,4.095070265029501e-11,5.7003524420570375e-11,5.7003524420570375e-11,5.7003524420570375e-11,7.96794688760562e-11,5.523695984737437e-11,5.523695984737437e-11,6.26394655391303e-11,4.6586643768854936e-11,4.6586643768854936e-11,6.04037539232914e-11,4.796948552662376e-11,6.183230514901692e-11,7.513632870643455e-11,6.773382301467862e-11,1.4656504531854583e-10,1.4656504531854583e-10,2.036028880214591e-10,1.8335614822086374e-10,1.6949332859847056e-10,1.624913442886479e-10,5.766730887456018e-10,2.4680674047142646e-09,3.623218419239262e-09,3.7133287788894608e-09,3.7930280612814245e-09,3.90576769240417e-09,4.234744584758714e-09,4.1586814131244765e-09,2.6008491337785915e-09,1.481724124845009e-09,1.3583289418845582e-09,1.3144551662402915e-09,1.2597970429747576e-09,9.44987591897888e-10,6.068690190751719e-10,1.9447576014852697e-10,1.6380077725744856e-10,1.262306477103506e-10,8.390201108281799e-11,2.582050322560584e-11,6.242859817059039e-12,7.491431780470848e-12,9.36428972558856e-12
sh2001000142,italian astrology,2001,2.991236078275783e-11,2.3929888626206263e-11,1.9941573855171885e-11,1.7092777590147332e-11,1.7092777590147332e-11,1.7092777590147332e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3983733813750986e-11,3.463129287308218e-11,3.463129287308218e-11,3.463129287308218e-11,3.463129287308218e-11,4.729091523143174e-11,4.729091523143174e-11,3.330718141768076e-11,1.2659622358349561e-11,1.2659622358349561e-11,1.2659622358349561e-11,1.2659622358349561e-11,6.002251771005821e-12,6.002251771005821e-12,1.1502844311981976e-11,5.79668912077074e-11,1.5686181520369047e-10,2.0516492671429631e-10,2.563125208108831e-10,3.0437516049253155e-10,3.5726653827799256e-10,3.5176594573701637e-10,3.2000357324297417e-10,2.313265620723648e-10,2.2830689422326245e-10,1.92946914398132e-10,1.5447193821690623e-10,1.0158056043144522e-10,1.0158056043144522e-10,8.687888602976201e-11,7.666097320438833e-11,3.1377529542884834e-11,1.5589915271428468e-11,0.0,0.0,0.0
sh2001001914,haunted cemeteries,2001,2.9343751387078676e-10,4.0177073612479577e-10,3.541264064395774e-10,3.742537718224145e-10,3.3083654367636686e-10,3.672303740860044e-10,4.5131636820596096e-10,4.2894620296195033e-10,3.406927567442938e-10,3.6278712672865865e-10,2.995248761318768e-10,3.638499908111191e-10,3.7264862921628147e-10,3.3080029241643645e-10,3.6759775828446427e-10,3.709632853875013e-10,3.651625554514291e-10,3.6407029077986254e-10,3.56774144949501e-10,3.3692557176762904e-10,3.707117822041425e-10,3.9164313310270845e-10,4.4807401093043587e-10,4.887974018596974e-10,6.00084659542675e-10,6.857340092584048e-10,7.251292953988234e-10,7.531647795512774e-10,7.993650711595507e-10,8.840524383974773e-10,1.042880650884267e-09,1.1184435074513513e-09,1.2517985457728896e-09,1.338704413691597e-09,1.4750604106217315e-09,1.4899111225517648e-09,1.7603310728729416e-09,1.9826251354945363e-09,2.227152626508141e-09,2.2592574492766698e-09,2.4954505619639064e-09,2.66511603956378e-09,2.9470784483422362e-09,2.888021950554963e-09,2.991477880389829e-09,3.220138696366107e-09,3.37242572310508e-09,3.4525084614128727e-09,3.568896996680726e-09,3.6529171727403553e-09
