index,Ngram,Year_Added,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
sh85031724,christian converts from judaism,1999,2.2057783030660083e-10,2.1433958219407855e-10,2.0025637398335405e-10,2.3613045447528387e-10,1.9404131277957403e-10,1.7427990499165246e-10,2.08199641059194e-10,3.1878622658298994e-10,3.1709413368861764e-10,3.9247299953621654e-10,3.698317693756614e-10,3.7880997644235137e-10,4.3987974968866846e-10,4.5314226379148236e-10,3.486291701754978e-10,3.8267557674252576e-10,3.040462603909333e-10,3.0813891517743134e-10,3.148587382880866e-10,2.608325529768989e-10,2.9308944061406146e-10,3.469373082471654e-10,5.538363616925628e-10,6.592918304547193e-10,8.415484846678391e-10,9.701297731415766e-10,1.0818165014596965e-09,1.113166019679162e-09,1.2143316431765884e-09,1.1458208746896658e-09,1.0775101406362048e-09,9.634980075683736e-10,9.214469941033952e-10,9.270398932630692e-10,8.955223269284979e-10,8.574741512073253e-10,7.164631427818741e-10,7.501022382592839e-10,7.50923279906652e-10,6.556638168905441e-10,6.212317168622203e-10,6.338299726341542e-10,5.683087809872842e-10,6.375359089855997e-10,6.19594855580782e-10,5.886950232847354e-10,6.319766265860949e-10,6.173584837787516e-10
sh85143025,veterinary embryology,2001,5.000898896379002e-10,4.0988013400022895e-10,4.335513834515433e-10,4.000468795514348e-10,4.408662943639856e-10,4.45383995557285e-10,4.5705860029261156e-10,4.774354651705869e-10,6.10363424485045e-10,5.585842621780301e-10,5.697838109069193e-10,5.304934408423279e-10,5.71745610677172e-10,6.631013823350201e-10,6.244272742721752e-10,5.522030486640858e-10,5.912764717325952e-10,6.189157767637939e-10,6.124675360129141e-10,5.890637670107652e-10,4.839881684910135e-10,4.1323139354787486e-10,4.304368062376821e-10,3.7047719059213335e-10,3.3956294571781317e-10,2.450310316751533e-10,2.54068502843406e-10,2.7819991201589415e-10,3.8426134347870264e-10,3.4293451263235827e-10,3.560390191995452e-10,4.1158452638142707e-10,3.968508428621651e-10,4.674158233083528e-10,4.6473112312793244e-10,4.0359315145851605e-10,3.878531677373572e-10,4.310782063651367e-10,3.5283631918958674e-10,7.512150579171349e-10,6.932343493891236e-10,6.674097544464732e-10,6.238600211824365e-10,6.708136258772233e-10,6.083054883222947e-10,6.937534933100971e-10,2.54670265431578e-10,2.0309101102233829e-10
sh89003470,language purism,2003,3.136886479737644e-10,2.7056736295882904e-10,2.421972761235125e-10,2.2892122126488042e-10,1.346515909685296e-10,1.412478864030017e-10,1.9299194385448614e-10,1.8504960262534708e-10,2.2434598425023567e-10,3.1150366611562165e-10,3.562317053443628e-10,9.510079876373645e-10,1.4117243173072946e-09,1.8120072530729877e-09,2.151679626634571e-09,2.4030647298445285e-09,2.5240366726250343e-09,2.7392970828162994e-09,2.5896244593148765e-09,2.444585078016053e-09,2.5109692024040596e-09,2.5016507397358977e-09,2.3849836312222243e-09,2.545591475706337e-09,2.633898973924964e-09,2.651442448534499e-09,2.5363344301793896e-09,2.406561733622351e-09,2.5121296887935837e-09,2.7911198729230998e-09,3.102238717895516e-09,3.5597329409561442e-09,3.377962929215375e-09,3.513167915311247e-09,3.3021922874703384e-09,3.546268784579024e-09,3.5025451923718725e-09,3.4473256769037725e-09,3.2075763454050434e-09,3.175014416061701e-09,3.1765553520912708e-09,3.3416477700022794e-09,3.083429291656741e-09,3.400674509847411e-09,3.1322589621225157e-09,2.969043661390132e-09,3.14605416440461e-09,3.33072319724792e-09
sh95000670,marine eutrophication,1995,3.6752269803874693e-10,4.4114149139184983e-10,4.0942909363776237e-10,4.1490989314908946e-10,3.972639390067582e-10,4.20877660599934e-10,3.813475918974202e-10,5.540778446174891e-10,8.687912447989466e-10,1.096834746044146e-09,1.666959365185873e-09,2.3625650572805287e-09,3.736327942970614e-09,4.2989909851211456e-09,5.03026491145499e-09,6.218566527291644e-09,6.141074367281365e-09,7.0664260068409304e-09,7.52852101988864e-09,6.828682356677503e-09,6.816461346263539e-09,6.726931290275604e-09,6.107481596355293e-09,6.903488277559822e-09,6.113577030532533e-09,5.339538044847801e-09,4.979821863402924e-09,4.884819563229424e-09,4.565203182248828e-09,6.546773562254067e-09,6.457827663988328e-09,6.161938310790737e-09,6.3891825441420025e-09,6.532117234019681e-09,7.111132244560661e-09,7.297382290204808e-09,4.678045879736542e-09,4.263824639095486e-09,4.568777614665549e-09,4.531545952467837e-09,4.907021137142064e-09,5.589703397071037e-09,5.881879388309435e-09,6.869944426827042e-09,7.563021486856059e-09,7.91515921324167e-09,8.64564921876365e-09,9.257632035963859e-09
sh93009546,portuguese science fiction,1993,2.9892779224161004e-11,2.39142233793288e-11,1.9928519482774003e-11,1.7081588128092003e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0398246583904924e-11,4.7890364293249175e-11,7.596756557148865e-11,9.726536243093165e-11,1.179465394399567e-10,1.179465394399567e-10,1.179465394399567e-10,1.0419532548274927e-10,1.0221370624896586e-10,9.348187947939251e-11,7.892378615727478e-11,8.533693196532965e-11,8.533693196532965e-11,8.533693196532965e-11,8.626361381166729e-11,6.842958987150562e-11,6.461712068195347e-11,5.7877417144628194e-11,5.5565494665772115e-11,5.5565494665772115e-11,5.5565494665772115e-11,4.7991780192737006e-11,4.031530565733783e-11,4.026688407313525e-11,4.026688407313525e-11,1.5484483734911388e-11,1.5484483734911388e-11,1.5484483734911388e-11,1.8065231024063284e-11,2.1678277228875942e-11,0.0
sh2009007184,latgalian dialect,2009,5.088634028038719e-11,7.994196138394472e-11,7.49805379821981e-11,6.42690325561698e-11,5.670758703882736e-11,6.261101756103012e-11,5.5512306061457546e-11,5.51054311308847e-11,2.708193887400258e-11,3.34466997748655e-11,4.005185915066458e-11,4.005185915066458e-11,2.685926828172036e-11,4.5508245485484775e-11,3.878652904806426e-11,5.007146334461738e-11,3.65390708761166e-11,4.21648678274243e-11,9.161501815116831e-11,1.0425318445829644e-10,9.202117788003378e-11,9.202117788003378e-11,8.680160211636613e-11,9.915878683629055e-11,1.1116517478363238e-10,6.171502445988836e-11,5.499586450923617e-11,6.717131711964086e-11,9.213605572933048e-11,1.0475134945961021e-10,1.1810496330921794e-10,9.386761903476933e-11,1.1540728987537361e-10,1.6047958993427513e-10,1.8839873510463027e-10,2.333609020307595e-10,2.1468024976759433e-10,2.09805496388858e-10,2.2346513330249807e-10,2.0869166761757922e-10,1.723348780148713e-10,1.4813284874531137e-10,8.480023578180277e-11,1.147209604098912e-10,9.388491521909538e-11,9.359615802303119e-11,1.0284270240967786e-10,1.0294297358992566e-10
sh92001753,aidōs,1992,1.1328220358292063e-09,9.724980251646363e-10,1.1217263564770412e-09,1.4108338317053715e-09,1.5399028570141559e-09,1.475808856074171e-09,2.476691729678761e-09,2.78653332253758e-09,2.910634863089496e-09,2.7419449201228555e-09,2.706031978851252e-09,2.5977515882450295e-09,2.6943116537439924e-09,2.311006973089645e-09,2.099639895479312e-09,4.345774294986107e-09,5.661515308151368e-09,5.785227959385709e-09,6.223870436884913e-09,6.110277399626725e-09,5.8140943691442626e-09,5.725870681860018e-09,3.9682052817291424e-09,2.900841779582672e-09,2.7558629039517844e-09,2.478772204360182e-09,2.6355861208748883e-09,3.0520931159389826e-09,3.1632792080182885e-09,2.5976394170599905e-09,2.8184793695357993e-09,3.251839292383358e-09,3.7261159975939975e-09,3.956287720545206e-09,3.2931806730989485e-09,3.6298220545365786e-09,6.0560469659909355e-09,6.143655597649701e-09,7.918783476664113e-09,9.828184729843942e-09,1.2861521287968075e-08,1.4389436764152197e-08,1.4873036376888177e-08,1.3666267760801106e-08,1.4644065618364083e-08,1.4050636698686076e-08,1.3112895871220108e-08,1.0172164266290806e-08
sh2012003614,phorodon,2012,1.3499088367951995e-08,1.5579619422334547e-08,1.4709378952139826e-08,1.4598035808935768e-08,1.6071130820979488e-08,1.6578558947282536e-08,1.6543679875429577e-08,1.5036814052833096e-08,1.3045778325670998e-08,1.3423307392211392e-08,1.2503827994828472e-08,1.1542782327178536e-08,1.0306266659543262e-08,1.0834768667573286e-08,1.0062039696485353e-08,9.58119295806676e-09,8.727112485550677e-09,8.955283483519372e-09,7.893991589866652e-09,7.218496892486786e-09,6.362272309188922e-09,6.686229266678849e-09,6.436789614213837e-09,5.814100471405816e-09,4.967410380351295e-09,4.475832207342537e-09,4.078290594122791e-09,3.475747752113012e-09,2.528423828442237e-09,2.5151238254782017e-09,2.4252268467282535e-09,2.397356627698815e-09,2.534934085061748e-09,2.33046745096166e-09,2.8789228283056444e-09,3.112875304744911e-09,2.509878379535519e-09,2.270791236594746e-09,1.9405760609547684e-09,1.9519917230212005e-09,1.9050298441910687e-09,1.2330871918780112e-09,9.83179161100673e-10,1.2544734764863286e-09,1.3598188557316172e-09,1.476890372729504e-09,1.2511744792997881e-09,1.3607342527061084e-09
sh2003004505,communication and education,2003,6.358035083923325e-08,6.416756017160741e-08,6.285004120094861e-08,6.1037057179854e-08,6.041888665516454e-08,6.039929274484093e-08,5.9591079102004415e-08,5.740212874472128e-08,5.717116218336861e-08,5.7151634262421677e-08,5.8099823854740336e-08,5.9105073304394073e-08,5.867114342625323e-08,5.781972871965866e-08,5.9235759027549887e-08,5.794807141872623e-08,5.948395916011944e-08,5.9182704397911905e-08,5.835454386470579e-08,5.9288643803969055e-08,6.05610510073795e-08,6.186556749427602e-08,6.304028520973907e-08,6.292416609343257e-08,6.431777830814835e-08,6.416130455802075e-08,6.355519817270132e-08,6.303205202873704e-08,6.092456234795184e-08,5.963564041745553e-08,5.725538448065971e-08,5.5615384772203114e-08,5.469235624161066e-08,5.18654348105409e-08,4.925306242466771e-08,4.817186998403087e-08,4.544982491948093e-08,4.451525501488117e-08,4.301732738572405e-08,4.244644792793041e-08,4.240549864973591e-08,4.257843107357313e-08,4.051569959043211e-08,4.1430281374745966e-08,4.100425200819926e-08,4.075871217560275e-08,3.9510721406427196e-08,3.951123693154979e-08
sh2002005747,raven,2002,3.383595523120432e-06,3.4038137310295207e-06,3.4130411711123802e-06,3.418509627695275e-06,3.5529289627647676e-06,3.567287198512446e-06,3.6342846062154584e-06,3.771992691509483e-06,3.867317350497228e-06,3.981381838859266e-06,4.122281649210159e-06,4.144688669768606e-06,4.156557879900214e-06,4.192237556882979e-06,4.116557927745612e-06,4.072166421180709e-06,4.04260481687489e-06,3.940332697099924e-06,3.9547462798593e-06,3.981469009118867e-06,3.974084758439693e-06,4.036188996394844e-06,4.089891927315514e-06,4.090319756161774e-06,4.162323158903918e-06,4.182022373045278e-06,4.164043786806476e-06,4.233562540478797e-06,4.270319293925295e-06,4.302640010656254e-06,4.390361838669095e-06,4.529855716272782e-06,4.74017138688197e-06,5.081826269646487e-06,5.5027655754254615e-06,5.835120071446007e-06,6.263953829546004e-06,6.637350157916365e-06,6.776085806521119e-06,6.95673396877953e-06,7.019305152475682e-06,6.88504293677331e-06,6.764307889904421e-06,6.657554601165283e-06,6.70288854056979e-06,6.7911458466850495e-06,6.769498170524496e-06,6.73466953578488e-06
