index,Ngram,Year_Added,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
sh2001006490,chain gangs,2001,7.065311421333709e-08,6.726249469068967e-08,6.607003840789864e-08,6.630524823834717e-08,6.812226386658318e-08,6.761102529724759e-08,6.399863608607433e-08,6.31996592152993e-08,6.393758533233619e-08,6.531060366925841e-08,6.44943356205693e-08,6.277276701959925e-08,6.355020082740581e-08,6.570824886331253e-08,6.850092276992307e-08,6.952577075417758e-08,7.370146900662859e-08,8.127012443669742e-08,9.836220539361743e-08,1.0907782966446122e-07,1.1498826611821316e-07,1.1858368020867259e-07,1.2728489703509436e-07,1.3142563424852126e-07,1.3160204101470008e-07,1.2230322011887373e-07,1.1966592200881744e-07,1.2065665982600011e-07,1.2269212799303248e-07,1.214128809910532e-07,1.206585142394483e-07,1.2450048768419026e-07,1.2943622688646063e-07,1.3221642149472255e-07,1.305007496203119e-07,1.2994404997361345e-07,1.3357858468252388e-07,1.3691355642969638e-07,1.3802390850287907e-07,1.3446009595077005e-07,1.31705450066359e-07,1.331399057297376e-07,1.2759137566576269e-07,1.2339998111290146e-07,1.1754053310872316e-07,1.1198323114694024e-07,1.0949512759539371e-07,1.0600837214297387e-07
sh87005991,cronartium,2004,1.3422732086931788e-07,1.360197886768333e-07,1.2975498816144201e-07,1.2397700848471818e-07,1.2533700945320724e-07,1.223778538342522e-07,1.1895089959006377e-07,1.1594698485406112e-07,1.0391306743595279e-07,9.829980507309165e-08,9.067245801755443e-08,8.128091460208557e-08,6.969694605578932e-08,6.461853251688815e-08,4.7325830992190587e-08,4.345702930048339e-08,4.006505957950982e-08,4.0441485803034897e-08,4.337169617697954e-08,4.1864272524806875e-08,4.173452288520301e-08,3.996285102043323e-08,3.934255316370308e-08,3.628383539653969e-08,3.322906394635981e-08,2.537509340298981e-08,2.375425020325379e-08,2.0062674070675524e-08,1.8263398649560296e-08,1.6653223988297557e-08,1.6378459217837793e-08,1.4902713463569147e-08,1.3935747559395972e-08,1.259810324513325e-08,1.3329489890329114e-08,1.5251526630411753e-08,1.3343214309747514e-08,1.224589696164981e-08,1.1984070057246317e-08,1.1701193454152374e-08,1.110857038448741e-08,8.292941992342286e-09,4.866718701150376e-09,5.117321636379156e-09,5.411555510747329e-09,5.47910212281751e-09,5.26216659899048e-09,5.249913724234001e-09
sh93004237,fine pitch technology,1993,1.1782931227943827e-10,1.0530351590709586e-10,8.775292992257988e-11,7.521679707649705e-11,4.7981967605486324e-11,7.054191853666275e-11,5.445564733268832e-11,5.445564733268832e-11,4.656988584444172e-11,5.4119758278022996e-11,1.1318278457318951e-10,3.250594020144857e-10,1.2423184514839416e-09,1.874190062074137e-09,2.445166951850883e-09,2.874811230338789e-09,3.984907226615788e-09,4.395003855890105e-09,4.653975416356116e-09,4.163391633433504e-09,3.957475952102004e-09,3.6415669140857763e-09,3.4518808615063054e-09,2.8234479486553637e-09,2.5204641077620456e-09,2.267955734424382e-09,1.928344307150498e-09,1.5832648193484353e-09,1.5246308070204773e-09,1.4395041770690462e-09,9.77967602237641e-10,8.193655020345097e-10,6.00045186157797e-10,5.214872065918895e-10,5.024576176753432e-10,6.158037874269353e-10,4.609721914699311e-10,4.332958104416981e-10,4.2572209596866296e-10,4.1700844017968283e-10,3.859426295414549e-10,3.2409577700136845e-10,4.224155152649749e-11,5.0155417021960755e-11,5.0155417021960755e-11,5.851465319228755e-11,5.017550888664069e-11,6.271938610830086e-11
sh2019002539,health ministers,2019,1.556051007177428e-07,1.5852842008279301e-07,1.5796305367678698e-07,1.5902340338793038e-07,1.6381560951985096e-07,1.7095621389995714e-07,1.787949726898433e-07,1.7461048772496324e-07,1.7804664601937209e-07,1.862374853674187e-07,2.0026699862489763e-07,2.1025019231923505e-07,2.166832423390013e-07,2.2139784708726955e-07,2.3216722448902797e-07,2.357575862409795e-07,2.3617673486650957e-07,2.3199684825110844e-07,2.3401652694821085e-07,2.274540925774932e-07,2.3050337757758917e-07,2.2235521106306336e-07,2.24583065751492e-07,2.248272938118864e-07,2.2227801893091273e-07,2.2168358611742473e-07,2.2707106051953712e-07,2.249299621906453e-07,2.2939175062242076e-07,2.343208155127944e-07,2.349799850660607e-07,2.3114287577950215e-07,2.169062906167656e-07,2.0476522921846126e-07,1.8859838950528137e-07,1.7583763315190406e-07,1.5455256825278837e-07,1.4099727963403405e-07,1.3656204465713e-07,1.356308183170428e-07,1.3659327955770864e-07,1.3704464736988273e-07,1.3710525421878734e-07,1.4541187302428387e-07,1.5081169247399946e-07,1.495167155299524e-07,1.5119145142031277e-07,1.5449209954995075e-07
sh2010000057,introduced aquatic organisms,2010,1.407548730347763e-11,1.1260389842782103e-11,9.38365820231842e-12,8.043135601987217e-12,1.6046447404954075e-11,1.6046447404954075e-11,8.003311802966857e-12,8.003311802966857e-12,3.781481031084333e-11,6.801430004516845e-11,1.0492869222310043e-10,1.0386322010780269e-10,1.1072321284039915e-10,2.4265245021637405e-10,3.098262009052341e-10,2.9925250620764313e-10,2.757858227501028e-10,2.8646733794625487e-10,3.413867636002456e-10,3.626039721458886e-10,2.8036959410861403e-10,2.5455819743780417e-10,2.6198241938930293e-10,2.68838861886397e-10,2.278899871390104e-10,1.8516559565402117e-10,1.9577914339311394e-10,1.4608428405441361e-10,1.0472193003636348e-10,8.479171283754766e-11,8.504065457778535e-11,1.0111476437892262e-10,8.965836505765118e-11,6.65005213594329e-11,7.268520656387802e-11,7.268520656387802e-11,7.18699945786597e-11,6.539106756076052e-11,5.7118051360089646e-11,4.944157682469046e-11,4.165091337303219e-11,5.1201447843445584e-11,5.818289401858325e-11,6.018016293629636e-11,6.708091919240187e-11,6.1404925126111e-11,7.36859101513332e-11,7.855846442111902e-11
sh85036365,dedication services,2002,2.5464387962831347e-08,2.5010799541147486e-08,2.4387921329406995e-08,2.381815185260277e-08,2.2656507790906417e-08,2.087574424238157e-08,2.091598853638997e-08,2.096161178561611e-08,2.033989420839401e-08,1.9513364648322222e-08,1.9274234951127675e-08,1.8973315408867183e-08,1.867291939029141e-08,1.7974476157478492e-08,1.772279229622642e-08,1.7947887481772895e-08,1.8074228902233347e-08,1.7833099600192022e-08,1.8198814172904716e-08,1.848277760206431e-08,1.8582286560677094e-08,1.862478073849649e-08,1.7976069258129893e-08,1.787383207611594e-08,1.759093610161276e-08,1.716013452763525e-08,1.645730907008052e-08,1.616433552188117e-08,1.611024522763357e-08,1.5958941742020127e-08,1.5772727528328464e-08,1.6258530107048678e-08,1.6113605149101603e-08,1.634521176889701e-08,1.5627725475800665e-08,1.4637227786971709e-08,1.4079586710799167e-08,1.385577722299144e-08,1.2666831870106993e-08,1.2182196380133847e-08,1.1629160586386554e-08,1.1354971026936565e-08,1.124156469449665e-08,1.1282823952411615e-08,1.0972110247646296e-08,1.111155349617828e-08,1.0785711282434995e-08,1.0408890603608167e-08
sh2015000161,hypermonotectic alloys,2015,0.0,4.9041111449543706e-11,1.244899611637281e-10,1.2802923701363663e-10,1.2802923701363663e-10,1.67607009124834e-10,2.1376604405249595e-10,2.2048776048991646e-10,1.9212191113798e-10,1.5427657663285337e-10,4.169748742716933e-10,7.514498933817012e-10,9.885703808133947e-10,1.489448000947207e-09,1.925617273274005e-09,2.1728647774903784e-09,3.2874336001425294e-09,3.278608258891083e-09,3.191383992391066e-09,3.053705563217855e-09,2.859602279672461e-09,2.679247442456876e-09,2.6740161340148875e-09,1.5503306996313334e-09,1.30543086806648e-09,1.2152848216849335e-09,1.1768881003666148e-09,9.726941226679514e-10,1.1657644443028937e-09,9.357653848225083e-10,9.174787150250425e-10,9.013207303525713e-10,8.447344862296178e-10,8.096716308327233e-10,6.609322370153071e-10,2.3446197414123127e-10,2.2135096285664475e-10,2.2186861177640538e-10,2.2138955252382073e-10,1.2763729557401553e-10,6.93943003258836e-11,6.93943003258836e-11,4.685238258869287e-11,4.128274161011421e-11,3.433739304797052e-11,2.4124048823385518e-11,1.9476171370103047e-11,1.1540012001542976e-11
sh85131715,syrian churches,2002,2.951406291064329e-08,2.769147078029999e-08,2.7340966432994513e-08,2.7351540437298948e-08,2.629412663742487e-08,2.658118635667387e-08,2.5193719714104523e-08,2.5598475121866145e-08,2.7688332449732345e-08,2.7138524480738565e-08,2.6478441641160566e-08,2.603034365635169e-08,2.651004381888049e-08,2.6044556218034794e-08,2.6275991195863687e-08,2.6073430274454424e-08,2.5895865066877247e-08,2.6596236002727044e-08,2.7638889961930013e-08,2.8670084875119314e-08,2.9296398296879685e-08,3.1007708224474665e-08,3.250181073582992e-08,3.6172428439467426e-08,3.740856496593979e-08,3.816733665427754e-08,3.920320969142648e-08,4.149889502720407e-08,4.3724540209740977e-08,4.4770194546667996e-08,4.4676289958197775e-08,4.479958873712268e-08,4.556250698801802e-08,4.327298475847611e-08,4.011531496567189e-08,3.560332830835979e-08,3.2110453788980475e-08,2.9606142488484777e-08,2.995874214926325e-08,2.9033812163486997e-08,2.9709020649831827e-08,3.128978000261192e-08,3.258579092966071e-08,3.2836308345995935e-08,3.52295720765426e-08,3.4487626439256666e-08,3.352282146457108e-08,3.424601581307474e-08
sh85034109,crinoidea,2004,3.632969768074812e-08,3.512475451605823e-08,3.494970221562532e-08,3.4442404484025246e-08,3.4649444305820006e-08,3.596008793119562e-08,3.420736968287993e-08,3.25696820783047e-08,3.1251360348744894e-08,3.153259605806876e-08,3.048750026245019e-08,2.8807541146187125e-08,2.639541054775104e-08,2.5473608484498962e-08,2.4717454115221112e-08,2.509875884111017e-08,2.308050086766552e-08,2.2631822483536775e-08,2.328308790608017e-08,2.3871785655358938e-08,2.282355519261132e-08,2.3773301759717162e-08,2.2527328692932358e-08,2.2508511800443746e-08,2.2521227910354824e-08,2.120969767276699e-08,1.966543268703903e-08,1.9727762467265057e-08,1.7907565704110088e-08,1.7693301684884588e-08,1.7874852824086215e-08,1.9823603326323584e-08,1.9710841498670517e-08,1.794952718205321e-08,1.8150456011183687e-08,1.836135116569818e-08,1.803863642981161e-08,1.5996221937319977e-08,1.1974916776930078e-08,1.2116859222822368e-08,1.2035781013200068e-08,1.0668421148976196e-08,1.1208762170902433e-08,1.1427550802955196e-08,1.2351129144736302e-08,1.3322429169108457e-08,1.2499593898818161e-08,1.371409416237035e-08
sh93008960,klikitat baskets,1993,1.6645896987188546e-10,1.3316717589750838e-10,1.1097264658125697e-10,9.511941135536313e-11,6.38644058272218e-11,6.38644058272218e-11,4.155914402297662e-11,2.73019612869899e-11,4.062899322532232e-11,4.062899322532232e-11,1.3310122547777985e-10,1.1898755988440764e-10,1.3743410972758393e-10,1.3046213960334263e-10,1.3046213960334263e-10,1.171351076650102e-10,2.8548690841900815e-10,2.1747658882076415e-10,2.9783308607065987e-10,3.236201163198909e-10,6.061674624548351e-10,6.311709062147207e-10,6.493669818133771e-10,4.871937734193413e-10,5.112065503052955e-10,4.541248240547929e-10,4.335672693882892e-10,1.7579097007423628e-10,2.0695818967305816e-10,2.0121588224984524e-10,2.078926891746491e-10,1.8062604289254784e-10,1.7889094223812382e-10,1.8435280732531645e-10,1.7662121864254436e-10,1.670684919772926e-10,1.7132364673758515e-10,1.6541359601496275e-10,1.4420555275689624e-10,1.2266588241192725e-10,9.352799189883092e-11,7.02722081913354e-11,2.3654271497879672e-11,6.945348562143699e-12,0.0,0.0,0.0,0.0
