Ngram,Year_Added,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sh00001519,sponge divers,2000,1.1042255384369204e-08,1.0336990749482132e-08,1.0478293820577932e-08,1.0262155486495672e-08,9.569808568603886e-09,9.969361737923891e-09,9.460367949834116e-09,9.259105350985429e-09,9.000386390048013e-09,8.492548339666156e-09,8.322523195900385e-09,7.763036661417864e-09,7.515849975119656e-09,8.595809540347586e-09,8.255827189543715e-09,8.287391475450941e-09,8.288068178192402e-09,8.144407727593365e-09,7.851729952720478e-09,7.932352172434248e-09,7.25367370038191e-09,6.848921053308795e-09,6.941087054330401e-09,6.94791009844423e-09,7.627929266899669e-09,8.081342526714393e-09,8.057740234470747e-09,8.151706820471094e-09,8.392076875680349e-09,8.620124776679916e-09,8.872548826596318e-09,8.505486958592418e-09,8.253152460553835e-09,8.112642141400174e-09,7.776171278819514e-09,7.51552579346591e-09,7.848332744114785e-09,7.704130800078352e-09,7.531026876521944e-09,7.78070814895504e-09,7.712600131713171e-09,7.69775626202816e-09,8.105047088589295e-09,7.669435618083102e-09,7.362694127740251e-09,7.619562466839351e-09,7.738416042877916e-09,7.95504624210667e-09,8.274363953036934e-09,8.122614020625307e-09
sh00001974,cyberterrorism,2001,3.228886810702214e-10,3.58561030866511e-10,3.0894554507258454e-10,2.6481046720507253e-10,2.6481046720507253e-10,2.2938430123607493e-10,3.7654140242323766e-09,3.6323851942172372e-09,3.5607779899241415e-09,3.552082544766577e-09,3.559919372183743e-09,3.559919372183743e-09,3.708149268794829e-09,2.5354710592966663e-10,2.668966575525289e-10,3.1753518366293774e-10,3.58986512143706e-10,3.5783715227055696e-10,3.647685620817536e-10,3.6953493588533423e-10,3.546819985528986e-10,5.486347492383065e-10,5.870690724226904e-10,1.3765530763876212e-09,1.8771097364970022e-09,3.767156371570213e-09,6.9227306099896505e-09,1.4374705349651238e-08,2.4938479455116624e-08,3.877629793647142e-08,5.139894665241927e-08,7.18642419084941e-08,8.189619041650989e-08,9.679584462930966e-08,1.0820184280700498e-07,1.1047714582442962e-07,1.1039968057592807e-07,1.0769652025336261e-07,9.753365627838762e-08,9.544124801189442e-08,8.66776415820685e-08,8.278053384237958e-08,9.018043596994588e-08,9.692709632731183e-08,1.0448649630631238e-07,1.0668870971001061e-07,1.1515200362886636e-07,1.2332528289323483e-07,1.2695192375122843e-07,1.2288081953359953e-07
sh00002005,counterculture,2000,2.6909311955959636e-07,3.0547451131540675e-07,3.2489520136388955e-07,3.3437834366557253e-07,3.7029510721944825e-07,3.8936252765962256e-07,3.7487254068594276e-07,3.6302584224228477e-07,3.371529213556934e-07,3.18822591062374e-07,3.0670236544359996e-07,3.021681101058367e-07,2.9178973168826014e-07,2.9169494388119254e-07,2.8938472400864635e-07,2.946096857422579e-07,2.9965339407221426e-07,3.105803607291101e-07,3.209744851741842e-07,3.4359503764799394e-07,3.592876501451458e-07,3.768350831676434e-07,3.951636843996242e-07,4.126556759790186e-07,4.387600871067725e-07,4.6371192618234265e-07,4.880040445844851e-07,5.073673613459936e-07,5.348958779451923e-07,5.558056742106798e-07,5.761746545107438e-07,5.89053572154893e-07,6.025147612087015e-07,6.043404600399038e-07,6.383199968085427e-07,6.448712530018291e-07,6.589577543352726e-07,6.873825507467441e-07,7.041840657340656e-07,7.010437534319542e-07,7.300051812204096e-07,7.254566705297956e-07,7.674785425406435e-07,8.052187899118348e-07,8.065315882773863e-07,7.988187180370849e-07,8.158397297485262e-07,8.181889361678676e-07,8.344213304881109e-07,8.024740894094912e-07
sh00002032,organizational justice,2000,1.3821397290558757e-09,1.3920330166339312e-09,1.189003703364981e-09,1.3177282965190098e-09,1.3855221959814731e-09,1.6585830318287848e-09,2.0169081930381564e-09,1.7404408232073773e-09,1.6135433391192437e-09,2.0834546890304205e-09,1.866873036616384e-09,1.9262340259546776e-09,1.6085190461336195e-09,1.4201809153283458e-09,2.5227741750780532e-09,2.679162160476986e-09,2.650904837408247e-09,3.6059651420593054e-09,5.293356007982482e-09,8.017769925166324e-09,1.1659859661117267e-08,1.3374322948725823e-08,1.6017027436508535e-08,2.0529101720155396e-08,2.3900804664776584e-08,2.8370202637525595e-08,2.8938379133456952e-08,3.011518994495381e-08,3.989610840304803e-08,4.758222470202522e-08,5.288873120706806e-08,5.800534112159512e-08,6.52911742597882e-08,7.177411676206097e-08,8.510010166888429e-08,8.690897221628033e-08,8.693135141794673e-08,8.737508806953643e-08,9.23454476260093e-08,9.511033201590033e-08,1.0327754617484031e-07,9.970403230113999e-08,1.2010393301525075e-07,1.3225894922308526e-07,1.4433538610136853e-07,1.4466577809588553e-07,1.4260170508516105e-07,1.4532032214381593e-07,1.5353111551819064e-07,1.3066800976478665e-07
sh00002225,slavery and judaism,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.026410885137685e-12,8.026410885137685e-12,8.026410885137685e-12,8.026410885137685e-12,8.026410885137685e-12,8.026410885137685e-12,8.026410885137685e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.387131399173843e-12,1.8991209894363744e-11,1.8991209894363744e-11,2.4768997369013183e-11,1.1154090448891755e-10,1.9981219952423602e-10,2.7080242116188964e-10,3.3420648639410315e-10,4.1444887650756076e-10,5.052867058295631e-10,4.995089183549137e-10,4.4361644516551936e-10,3.8218095553345574e-10,3.588104515886822e-10,3.180600088859009e-10,2.4568302154597584e-10,1.5484519222397353e-10,1.5484519222397353e-10,1.2396575829346342e-10,9.712995289020857e-11,4.951023519732851e-11,2.0469481268722436e-11,0.0,0.0,0.0
sh00002235,internet and teenagers,2000,6.138656249987662e-11,4.910924999990129e-11,4.0924374999917745e-11,3.507803571421521e-11,3.507803571421521e-11,3.507803571421521e-11,3.507803571421521e-11,3.210564354055074e-11,3.210564354055074e-11,3.210564354055074e-11,3.210564354055074e-11,3.210564354055074e-11,3.210564354055074e-11,3.210564354055074e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5548525596695372e-11,5.075668258707517e-11,5.650920703592632e-11,1.8939831944849876e-10,2.8701671694093227e-10,3.960577312540308e-10,5.633918302121771e-10,6.505829317731455e-10,7.955933124605328e-10,1.1784248418348194e-09,1.125033225310038e-09,1.125199695322416e-09,1.1288690617204468e-09,1.0779387144792857e-09,1.0606187119042788e-09,9.845597829080281e-10,6.191877149896996e-10,6.037685093948245e-10,5.327387558873298e-10,4.927688792725046e-10,4.469638528340322e-10,3.515442282513754e-10,3.002820561648356e-10,3.2784168713106964e-10,2.976651009012343e-10
sh00002236,lone scouts,2000,4.693960692359056e-09,4.351671123448142e-09,4.524654456661281e-09,4.483297205704061e-09,4.347545923464948e-09,3.943922818288354e-09,3.749915005992913e-09,3.4933449550736804e-09,3.470883628624101e-09,2.979240691944726e-09,2.970586832569598e-09,3.214106861116577e-09,3.2397914579270936e-09,3.150827693496458e-09,3.143457754016334e-09,3.0220291209946487e-09,3.4401843204491725e-09,3.1619330521925892e-09,2.862815401901063e-09,2.7077615358250813e-09,2.7323822242496044e-09,2.9040486687020066e-09,3.0518578433241003e-09,2.772331019017844e-09,3.661670579346061e-09,3.93118286633782e-09,4.083195506908246e-09,4.06336126105538e-09,4.195645214687722e-09,4.524565501528339e-09,5.437778048281558e-09,4.549122194516927e-09,4.439856379371118e-09,4.469181980842103e-09,4.5588962144040216e-09,4.262398151199427e-09,3.812220551636341e-09,2.931671988008557e-09,3.035516912235676e-09,2.7426128506155162e-09,2.7149138346675506e-09,2.918326585596431e-09,3.0085619652806377e-09,3.723060420721125e-09,3.6587460400151165e-09,3.659704164467909e-09,3.8079866935805275e-09,3.901551167787936e-09,3.811431756317596e-09,4.018255138349414e-09
sh00002318,critical criminology,2000,8.532932173344054e-10,2.4482821908700106e-09,5.044100149139326e-09,6.2092971419331584e-09,8.25302327966166e-09,1.0593366793884166e-08,1.2993164010980226e-08,1.5958998421383708e-08,1.7041875440588454e-08,1.7165057182181153e-08,1.706837875600379e-08,1.681146549351428e-08,1.6161832380337926e-08,1.6127862161339054e-08,1.543143132373692e-08,1.508330819519859e-08,1.4566722100860835e-08,1.608603288369822e-08,1.6545339805559437e-08,1.892904929130999e-08,1.8329883557912808e-08,1.828444130081272e-08,1.9625494321428335e-08,2.0816338036236785e-08,2.4257294613448463e-08,2.613060029466041e-08,2.6735081942928585e-08,2.903744679824286e-08,3.2454433685134646e-08,3.7362237019500366e-08,3.885074156977285e-08,3.82068834744612e-08,4.0750817938338205e-08,4.3874720893106415e-08,4.86097205027696e-08,5.3191126765066744e-08,5.708992266230594e-08,6.737218411331395e-08,7.653222189318852e-08,7.760611935868553e-08,8.646264648147694e-08,8.94343619068015e-08,9.489372616062437e-08,1.0033856157054545e-07,1.017376903813697e-07,1.0067835687553396e-07,1.0316726747299539e-07,1.0076853658678535e-07,1.0432852179109718e-07,1.0255869619616581e-07
sh00003161,wood carving industry,2000,9.807125146699125e-10,9.850701851443766e-10,1.0440749133311389e-09,1.1177819671843408e-09,1.1738987034421682e-09,1.226182955766613e-09,1.1407738414618125e-09,1.0669022798163015e-09,9.889672984312155e-10,8.789445138974412e-10,7.814731416541257e-10,7.629715515132331e-10,7.242515064858385e-10,6.128047251189158e-10,6.60879793846452e-10,6.534729667106998e-10,6.689157308416491e-10,6.30463565282862e-10,5.471816908305831e-10,6.999946178254391e-10,7.051140633675321e-10,9.388010899423283e-10,1.0717988758417768e-09,1.0523754189512807e-09,1.0629852955198628e-09,1.0894781674042344e-09,9.644923758465676e-10,1.0102534285318298e-09,7.808038783982e-10,7.743237891155719e-10,9.306867910270039e-10,9.80191007229506e-10,1.1259689589434731e-09,1.144917386096202e-09,1.0580282369467208e-09,1.0500497232636609e-09,8.965388585294561e-10,6.736138626062261e-10,5.371448538936199e-10,3.204520064482257e-10,2.438180528010639e-10,2.1696872795430788e-10,1.378424995673866e-10,1.4442022701740712e-10,1.6486040583280863e-10,1.7600093133888058e-10,2.0743522921188148e-10,1.9902185802167516e-10,2.1282880596773525e-10,2.5669125679195215e-10
sh00005356,drug delivery systems industry,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0165845184193033e-11,2.0165845184193033e-11,6.256816096973848e-11,1.1732778637529861e-10,1.8015447863664998e-10,2.293505782117019e-10,3.093956123047446e-10,3.2877171223561723e-10,4.0474402004545395e-10,4.154379419839062e-10,3.6067831657834605e-10,3.4120036161512854e-10,3.2592138115334583e-10,2.96086512450801e-10,2.8277774962884704e-10,2.1973892645941818e-10,1.6664268873542047e-10,1.6664268873542047e-10,1.232939514372866e-10,8.937683232401739e-11,3.916666693351953e-11,1.2933484640407856e-11,0.0,0.0,0.0
