Ngram,Year_Added,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sh00000121,parallel robots,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3191316426775446e-11,6.046432451944916e-11,1.620700067206382e-10,3.8057990290964375e-10,5.354513147355038e-10,7.242317202298715e-10,1.150947954997594e-09,1.410279210871985e-09,2.238284002586966e-09,2.9477726311487123e-09,4.102831731598153e-09,4.302738361042621e-09,6.2901941150812176e-09,7.91048430975486e-09,8.848078066852377e-09,9.276945855852496e-09,9.792182338299752e-09,9.781124496157802e-09,1.3506568383071199e-08,1.4586683012752473e-08,1.5544351568320365e-08,1.741964626166191e-08,1.9342487930784635e-08,2.1417472124180788e-08,2.3677308635553348e-08,2.1058812026032118e-08,2.3686054429820713e-08,2.578776091921983e-08,3.214902818612919e-08,3.5070463000429804e-08,4.1437734201791946e-08,4.656132898485575e-08,5.138310036583478e-08,5.077249949884359e-08,5.051247841877938e-08,4.889463983494468e-08,5.191535413268905e-08,5.222465220198837e-08,5.072516137856475e-08,5.207329827477958e-08,5.586388627295408e-08
sh00000221,bridges,2000,5.8636459602207786e-05,5.7877103480227786e-05,5.703365639637738e-05,5.6910731505148415e-05,5.5840603589263356e-05,5.468422290947688e-05,5.370541538640149e-05,5.279007386868644e-05,5.205650597938015e-05,5.163218488813245e-05,5.075213909359491e-05,5.0575401216834674e-05,5.09078653565878e-05,5.040415620453683e-05,5.037722458058603e-05,5.036838393422225e-05,5.0201121790033634e-05,5.050168514596717e-05,5.0759692522021295e-05,5.0231474087476397e-05,5.0480938128081726e-05,5.111917001570515e-05,5.165712775889978e-05,5.2594186104208993e-05,5.3125868882104256e-05,5.348837068697502e-05,5.4108345964745585e-05,5.4873068786696995e-05,5.505350876057865e-05,5.5003668914504043e-05,5.469728150863474e-05,5.441085344243653e-05,5.4009866610356105e-05,5.356139462478433e-05,5.3104823580324725e-05,5.3006017866753e-05,5.3097631498686646e-05,5.33991283161812e-05,5.348155546379754e-05,5.3331497325715055e-05,5.319948638527883e-05,5.330297048868185e-05,5.2949299254339364e-05,5.2282797596570115e-05,5.128444453678626e-05,5.061759267210245e-05,5.0341961861713905e-05,5.027502608796232e-05,4.974259305171592e-05,4.919143928920969e-05
sh00000229,home automation,2000,4.5786300098549226e-10,5.691012744390989e-10,7.060605688076945e-10,8.566324693244048e-10,8.220839881849836e-10,8.522077220494774e-10,9.902295114835473e-10,1.093585687779651e-09,1.1505267477816629e-09,1.2842417575804304e-09,2.165903501192913e-09,3.922538114756577e-09,6.203007218985589e-09,1.1691658329478414e-08,1.8042017225455047e-08,2.4330427524881552e-08,2.9116276478129736e-08,3.439005022916529e-08,4.072152903271199e-08,4.662492929737227e-08,5.046454502442249e-08,5.301799082148879e-08,5.632675785962367e-08,6.062608130350771e-08,6.259709785982495e-08,6.289989715934799e-08,6.372286604435149e-08,6.231031234236818e-08,6.293696432763118e-08,6.281282848317035e-08,6.491650538895904e-08,6.910708560562258e-08,7.362979416249337e-08,7.537771882216795e-08,7.594422365975184e-08,7.496863649314456e-08,7.198305069075088e-08,6.854416173738911e-08,6.690409599197486e-08,6.258878842236146e-08,6.493776835703181e-08,6.632038972363499e-08,7.721526002916042e-08,8.523816389422693e-08,9.342620279985591e-08,9.960725142021159e-08,1.1295393422479571e-07,1.1644690879666446e-07,1.2563656542063927e-07,1.227547623064429e-07
sh00000230,home computer networks,2000,0.0,0.0,4.0578744068634855e-11,3.478178063025845e-11,3.478178063025845e-11,7.532928249430272e-11,1.0747500756421883e-10,1.9576552730073337e-10,2.528850269071078e-10,3.3189105878255505e-10,3.632383684512178e-10,5.768727365835462e-10,6.69732145238054e-10,7.560265082624211e-10,7.044889562585992e-10,7.341783579893426e-10,8.207386367753421e-10,8.362035989235255e-10,7.126775583367526e-10,7.721789898963915e-10,8.334903853411481e-10,9.018457126919177e-10,9.4864607786246e-10,8.127115800774362e-10,8.374337374344216e-10,9.006165674341204e-10,1.0732264957688133e-09,1.1695961937047932e-09,1.61337772110391e-09,1.9461674563570064e-09,2.5204226746352745e-09,3.290629440064593e-09,3.6366137923436538e-09,3.853965056314714e-09,4.1279173843992e-09,3.9963894212751465e-09,3.998328494185323e-09,3.6709550211130477e-09,3.347739628170984e-09,3.2425886370820602e-09,2.9012589711615735e-09,2.601874902534242e-09,2.3927674866276926e-09,2.0689070283352873e-09,1.8615266912261739e-09,1.4787676683368303e-09,1.1910374080841598e-09,1.1077471295574866e-09,9.783313381639403e-10,8.584688966639664e-10
sh00000372,pressure sensitive adhesives,2000,5.4515517289646653e-08,5.940180229507818e-08,5.7607105929252667e-08,5.6137624534055175e-08,5.717561871325581e-08,5.255626934793407e-08,5.258344141659662e-08,5.260803978557327e-08,4.718057385997526e-08,4.720648070410552e-08,4.697445273286432e-08,4.684600366749209e-08,4.969386725629204e-08,5.1486575227946026e-08,5.1583913107765874e-08,5.2540508835495296e-08,5.844448789906913e-08,5.947993642212356e-08,5.945717642188986e-08,5.728817344069889e-08,5.54219139286906e-08,5.567885215137275e-08,5.698357907212213e-08,5.459900712349269e-08,5.856553063046269e-08,5.8387942400626806e-08,5.959107127493209e-08,6.28374551667992e-08,6.201779696834204e-08,6.462755956088138e-08,6.050050344686261e-08,5.1982467901596456e-08,4.722794205713754e-08,4.116946791017057e-08,3.7087098443887104e-08,3.291849214048793e-08,2.3071655456654728e-08,1.8074363065746975e-08,1.6210513644219053e-08,1.5098113602099054e-08,1.638414630009133e-08,1.1736607196527471e-08,9.816795016266896e-09,9.840849559842165e-09,9.610092782068908e-09,1.1524827155107165e-08,1.0803011679660912e-08,9.06911663707081e-09,9.752052020084445e-09,1.0863110423350864e-08
sh00001501,cobblestone roads,2000,4.2950664535384986e-09,4.056415840725247e-09,4.104751278460883e-09,3.974089054860551e-09,4.154922315924292e-09,4.011021517900749e-09,3.891224582136532e-09,3.829105612446204e-09,4.24754565696493e-09,4.5078972980045724e-09,4.8199904132446255e-09,4.664772185093107e-09,4.864450282066851e-09,5.336841596624366e-09,5.924879705901783e-09,5.7446929172969406e-09,5.697850039505991e-09,5.763492206307357e-09,5.800057292583625e-09,6.204920084189127e-09,6.11406702349937e-09,6.256762226375389e-09,6.968326100170729e-09,7.200734357987975e-09,7.531380040944256e-09,8.23628153129704e-09,8.314717442337027e-09,9.173364065881826e-09,9.86262701468161e-09,1.0126911295649244e-08,1.1023140142241944e-08,1.196987441060401e-08,1.2597216695371076e-08,1.3750525223910863e-08,1.4214318644246399e-08,1.528290996136558e-08,1.69825747195088e-08,1.8575344196334968e-08,2.0399126068881838e-08,2.149773676311409e-08,2.2243642176937783e-08,2.416506857736462e-08,2.530364930904535e-08,2.6060064272448843e-08,2.6534786979030238e-08,2.611296934562833e-08,2.7032568606703637e-08,2.7886708610716515e-08,2.777847810317424e-08,2.7520311717856016e-08
sh00002556,boeing 767,2000,8.524240896479185e-10,9.563304426141172e-10,9.031880660037572e-10,1.0177414664992922e-09,1.1092481080491164e-09,4.2390008844365e-09,1.1580548095865443e-08,2.2343534026937813e-08,3.0957146647723836e-08,4.417789484234546e-08,5.627913402766233e-08,6.571505914828738e-08,7.414268878212583e-08,7.47624453773759e-08,7.104566217473541e-08,7.185093633954587e-08,6.847997262503037e-08,6.406262463763491e-08,6.257444547043609e-08,5.7676122960925724e-08,5.612778061769852e-08,5.5703878660511615e-08,5.2114948713631396e-08,4.78822787451451e-08,4.51685422715136e-08,4.2109903389661186e-08,4.052960849471836e-08,3.950690850653058e-08,4.000806042014915e-08,4.3610493105639137e-08,4.5695230083924495e-08,4.7891192289650775e-08,4.850079942426382e-08,4.934171891703341e-08,4.894302274571771e-08,4.6441213755584905e-08,4.182610166151132e-08,3.803860398094677e-08,3.4764794569387096e-08,3.276286575222355e-08,2.9700189394908054e-08,2.7726065316414717e-08,2.567544358050646e-08,2.45514783362175e-08,2.3613428492066938e-08,2.169371068225036e-08,2.099784547403679e-08,2.1046268786189166e-08,2.097128010483673e-08,2.13204687004101e-08
sh00003683,plastic marine debris,2000,9.425729641243663e-11,7.540583712994931e-11,6.283819760829108e-11,5.3861312235678074e-11,5.3861312235678074e-11,5.3861312235678074e-11,0.0,0.0,0.0,0.0,1.5673654834331378e-11,1.5673654834331378e-11,1.5673654834331378e-11,2.229438082558742e-10,7.227841678344607e-10,1.0555516133777967e-09,1.387162257084272e-09,1.745986780749791e-09,1.9262034398059842e-09,2.1656758658220426e-09,2.1181848031523056e-09,1.762868344357127e-09,1.6209712818047807e-09,1.4439532625143412e-09,1.2645489774357595e-09,1.2376234759248206e-09,1.0989836778702816e-09,1.0427500212501733e-09,1.1986710711310776e-09,1.3765812815044345e-09,1.6269981433542871e-09,1.7462895147781131e-09,1.829214721162296e-09,2.1204005416576776e-09,2.370113327820888e-09,2.099479939105768e-09,2.0292005377596313e-09,1.7744715696821347e-09,1.946865620106042e-09,2.0093541537987864e-09,1.7974671339642571e-09,1.6577591744773976e-09,2.2473710734644784e-09,2.6016946469222175e-09,3.3450831564022352e-09,4.139942295228183e-09,4.604772664364352e-09,5.1620814416989775e-09,5.895527364907505e-09,6.285418149495903e-09
sh00003711,photodiodes,2005,4.7187026919019714e-07,5.003777554302147e-07,5.227093787714874e-07,5.50115026460534e-07,5.997941278903676e-07,6.401516253057293e-07,6.748906407725535e-07,7.194743449692731e-07,7.706001179287008e-07,8.285830747931497e-07,8.788525839952583e-07,9.38748693654623e-07,1.015329347048685e-06,1.0861746057706591e-06,1.1321064304338293e-06,1.1645688929584617e-06,1.1957018870479525e-06,1.2203244157285973e-06,1.2433760322628457e-06,1.2360154418141915e-06,1.2190486025155856e-06,1.232926730651364e-06,1.2521754986663925e-06,1.2520915757719645e-06,1.239929944575811e-06,1.2146790395501611e-06,1.1949191634051074e-06,1.1956483077174958e-06,1.1346729250830728e-06,1.0812009711033488e-06,1.0388899605103767e-06,1.015513941021233e-06,9.829005202318625e-07,9.576886337366825e-07,8.84708490177343e-07,8.267341469004159e-07,7.707219882907173e-07,7.069661871472732e-07,6.314655263827646e-07,6.119784960379796e-07,5.792450314792895e-07,5.418076803553686e-07,5.225010645096482e-07,5.001940877548008e-07,5.034448919064611e-07,4.983905721540496e-07,4.670128097322205e-07,4.3336193358313457e-07,4.513426294476541e-07,4.7485181471889487e-07
sh00004789,mpls standard,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5272167459239635e-11,1.5272167459239635e-11,1.5272167459239635e-11,1.5272167459239635e-11,1.5272167459239635e-11,1.5272167459239635e-11,1.5272167459239635e-11,0.0,0.0,0.0,1.2724673497428134e-11,1.2724673497428134e-11,2.5384295855777695e-11,2.5384295855777695e-11,3.1637848095313255e-11,3.7694080000173964e-11,3.7694080000173964e-11,2.496940650274583e-11,4.930575144596843e-11,1.326821554411709e-10,2.25787888881644e-10,3.8455211088885196e-10,9.567151292419076e-10,1.3275710862966796e-09,1.6125594446057624e-09,1.7774691986129275e-09,1.8927777410891545e-09,1.9920042926676753e-09,1.8932538572594535e-09,1.3836424188935175e-09,1.099638721350057e-09,1.0259730941803674e-09,9.630279094016305e-10,8.062480445174865e-10,6.31553644698484e-10,6.109618882239281e-10,6.085333645719107e-10,5.562569566670243e-10,3.759296103578169e-10,2.49628696186166e-10,2.2757465761395296e-10,2.483965498567553e-10,2.305634181840044e-10
