index,Ngram,Year_Added,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
sh00000505,women dermatologists,2000,0.0,0.0,8.362236828910833e-12,7.1676315676378574e-12,7.1676315676378574e-12,7.1676315676378574e-12,7.1676315676378574e-12,7.1676315676378574e-12,7.1676315676378574e-12,0.0,6.6051593757990695e-12,6.6051593757990695e-12,1.2754009653948017e-11,1.2754009653948017e-11,1.2754009653948017e-11,1.2754009653948017e-11,1.8766574108200882e-11,1.216141473240181e-11,1.216141473240181e-11,6.012564454252864e-12,4.451438919853398e-11,4.451438919853398e-11,5.057974773141944e-11,7.546014606824819e-11,8.151948213686033e-11,9.315686763655684e-11,2.2929401680931479e-10,2.0318714121939482e-10,2.0318714121939482e-10,1.9712178268650937e-10,1.726565195378108e-10,1.73666531552311e-10,1.620291460526145e-10,3.3176469508130626e-11,2.6595466404552173e-11,3.8249950330098463e-11,3.8249950330098463e-11,3.182225068771543e-11,2.475290260460307e-11,2.475290260460307e-11,1.7468429976328993e-11,1.1654483925546292e-11,1.3188585144620545e-11,1.3188585144620545e-11,4.0138150739618286e-11,4.6827842529554666e-11,5.61934110354656e-11,7.0241763794332e-11
sh00001939,fon women,2000,1.0115840110014318e-10,8.092672088011454e-11,8.416340772458379e-11,7.214006376392895e-11,5.7017172729244085e-11,5.7017172729244085e-11,3.572103723925579e-11,2.1056979572696223e-11,2.7720495541862432e-11,1.3385232406586717e-11,1.3385232406586717e-11,1.9579214241957235e-11,1.9579214241957235e-11,1.9579214241957235e-11,1.8842511380544126e-11,2.910639735184287e-11,2.910639735184287e-11,4.745283283377358e-11,4.125885099840307e-11,5.3897017305531185e-11,5.3897017305531185e-11,6.6664586549438e-11,6.793326020762943e-11,8.646903629624551e-11,8.02412729515391e-11,1.0351604395093211e-10,1.323109211478649e-10,1.571008194565872e-10,1.82036527716724e-10,1.9497487255667626e-10,1.8286679611044321e-10,1.7781747205633128e-10,1.689024812869176e-10,1.4203838303940485e-10,1.2306243078146524e-10,9.102862362696053e-11,6.546384416693054e-11,7.987218971534332e-11,9.329229700269107e-11,8.569872192839715e-11,1.0771607019042863e-10,1.167751505612039e-10,1.7106359235876034e-10,1.954146760082701e-10,1.7457863081747427e-10,1.797707046881832e-10,2.0625215840786027e-10,1.9378918435231096e-10
sh00002017,women insurance agents,2000,2.1798191897348662e-10,1.743855351787893e-10,1.6418863259722488e-10,1.407331136547642e-10,8.895086800067962e-11,8.749132222279117e-11,9.491040691462465e-11,9.181298776805846e-11,1.514359847838114e-10,3.466603918605189e-10,3.614261479386752e-10,3.5342283613570835e-10,3.521028543134503e-10,3.516274136940365e-10,3.2660093280638993e-10,2.6697793579063706e-10,7.577992995016253e-11,6.101417387200619e-11,6.101417387200619e-11,9.642928915682652e-11,8.948564508440678e-11,7.622724475440736e-11,8.289275119485343e-11,6.948895724707377e-11,9.607708824949894e-11,1.2796521134395e-10,9.817548559823815e-11,1.0491518913556344e-10,1.5898369079558883e-10,1.5904999291811124e-10,1.8685084382519257e-10,1.8298385525060215e-10,1.5109573215615106e-10,1.5504971562615592e-10,1.4831001208883065e-10,1.1832578468627475e-10,1.1159397612330631e-10,7.699850082928553e-11,5.427735840145078e-11,5.427735840145078e-11,3.8720241794600236e-11,3.8720241794600236e-11,7.742241867455694e-12,7.742241867455694e-12,7.742241867455694e-12,9.032615512031642e-12,1.0839138614437971e-11,0.0
sh00002106,boxing for women,2000,2.9892779224161004e-11,2.39142233793288e-11,2.936219612355758e-11,2.5167596677335068e-11,8.086008549243066e-12,8.086008549243066e-12,8.086008549243066e-12,8.086008549243066e-12,8.086008549243066e-12,0.0,3.691439217793199e-11,3.691439217793199e-11,4.377438491052845e-11,4.377438491052845e-11,4.377438491052845e-11,5.659958712029527e-11,6.333239339708006e-11,4.6816247803053e-11,9.492745329877015e-11,1.0210606120529344e-10,1.0920532682510777e-10,1.0920532682510777e-10,1.43038670689734e-10,1.8386823512152517e-10,1.9005811904441013e-10,1.6107978740536362e-10,1.53489645101011e-10,1.5313008301852194e-10,1.8699798753114242e-10,1.4033944145674937e-10,9.96961660052317e-11,1.0340289339058221e-10,9.194649406931075e-11,1.0879739420884985e-10,1.1442706108041482e-10,9.91459573170975e-11,1.2872894020584828e-10,1.5124689893365939e-10,1.281761041551009e-10,1.419732818411631e-10,1.2641616523431257e-10,1.691200622005213e-10,1.7845904615176877e-10,1.5678992875848127e-10,1.4874290341082563e-10,1.6510531368011763e-10,1.6806326330609523e-10,1.9653015586457157e-10
sh00002166,lakota women,2000,7.416696111428589e-10,7.796919082592169e-10,1.1263907561305981e-09,1.2284683131857932e-09,1.3877477882118239e-09,1.6988270487770597e-09,1.7009149480749576e-09,1.7654957054834076e-09,1.9055882719990323e-09,1.9436022245998353e-09,2.0769212589834473e-09,2.32443378483541e-09,2.9573038517035794e-09,4.433937962324988e-09,6.006888674466225e-09,7.539274000240015e-09,1.0098987223864216e-08,1.2589183340635681e-08,1.5066943996016365e-08,1.6845077925796226e-08,1.8097821088969294e-08,1.9215484061062075e-08,2.0181763409264442e-08,1.948627480604806e-08,1.848422264852775e-08,1.7701398989457473e-08,1.6980816593126224e-08,1.6361455452378644e-08,1.5264729299032823e-08,1.450414403362878e-08,1.4005961776277141e-08,1.3167771776726297e-08,1.2018678856703537e-08,1.1452181562192948e-08,1.0462973989195617e-08,9.421398541280862e-09,9.019741262415528e-09,8.30449501774371e-09,9.068133436116295e-09,9.179786323944481e-09,9.054796803226978e-09,9.255594797530353e-09,9.450699656386532e-09,9.726079018557154e-09,9.888606122931172e-09,9.42515488630095e-09,9.75666517022411e-09,9.801258638031385e-09
sh00002172,creole women,2000,8.427357122905987e-09,7.634433929482044e-09,7.231700904775096e-09,7.520661276278723e-09,7.570509508467556e-09,7.367274849207074e-09,7.303699826976303e-09,6.259541590911529e-09,6.621534539424933e-09,6.667745834136398e-09,6.620481105794924e-09,6.8591796731552534e-09,7.227519707224207e-09,7.863709885639177e-09,8.172338147475041e-09,8.521360405990195e-09,9.034441910852183e-09,9.588174138085755e-09,1.0816148930372795e-08,1.1518996893734272e-08,1.3138506931219065e-08,1.4170662102075406e-08,1.5448412645343735e-08,1.692405269002447e-08,1.7313241710816985e-08,1.7838776335563474e-08,1.923401892369487e-08,1.9444512530366768e-08,2.028951078030964e-08,2.0496442807378867e-08,2.0743522843373408e-08,2.1608041571308245e-08,2.1539343769892497e-08,2.1016475803706646e-08,2.0393834513989162e-08,2.0116586480430273e-08,2.0981595770816882e-08,2.1121228100325273e-08,2.1522199677695023e-08,2.1778978923378944e-08,2.2530480665167163e-08,2.242909907950095e-08,2.183146006929609e-08,2.1379617176829428e-08,2.1810305244380446e-08,2.1381614238406385e-08,2.1508900076294688e-08,2.072682283270344e-08
sh00002341,spiritual retreats for women,2001,4.949073963145256e-11,3.959259170516205e-11,3.2993826420968375e-11,2.8280422646544322e-11,1.8468849465642326e-11,2.7213333768966966e-11,3.5693267785852356e-11,1.722441832021003e-11,2.5678796390847326e-11,2.5678796390847326e-11,2.5678796390847326e-11,2.5678796390847326e-11,2.4691451760190067e-11,2.4075225939818826e-11,2.4075225939818826e-11,2.3047040466549008e-11,2.3047040466549008e-11,2.3047040466549008e-11,2.3047040466549008e-11,3.897200865592738e-11,3.9052213843656805e-11,7.74720922334739e-11,7.744336025635893e-11,8.499046258436671e-11,8.499046258436671e-11,9.910115436606581e-11,7.541904650402006e-11,8.963286511818959e-11,6.602354327938415e-11,5.862608265913164e-11,5.857082378625731e-11,6.672640119014567e-11,5.2615709408446574e-11,6.093244064071207e-11,3.8774708642298956e-11,3.719147509803225e-11,3.719147509803225e-11,2.9699631642898794e-11,2.1544054239010434e-11,3.673944184593278e-11,2.8422710613667287e-11,2.8422710613667287e-11,3.0029173592183156e-11,3.0029173592183156e-11,3.0029173592183156e-11,3.503403585754702e-11,2.0767300379365138e-11,2.5959125474206424e-11
sh00003127,women tap dancers,2000,5.891465440499566e-11,4.713172352399653e-11,1.7134791039744948e-10,1.4686963748352814e-10,1.2124725628266068e-10,1.2124725628266068e-10,1.2062320537250696e-10,1.3568274034076692e-10,1.3568274034076692e-10,4.512823596956674e-11,4.512823596956674e-11,4.512823596956674e-11,7.256820689995256e-11,6.514912220811908e-11,5.0089587239859106e-11,6.291478944962594e-11,5.373078569372223e-11,6.732961608881181e-11,9.482173379815606e-11,8.142036350688997e-11,1.8081008218429062e-10,4.427716615970237e-10,4.36611965827703e-10,4.4353022643495166e-10,5.761661187835593e-10,5.678068749308857e-10,5.795621076308346e-10,4.936517960280845e-10,2.994260256405923e-10,3.264195630062591e-10,3.0603568984544083e-10,1.7494839604781376e-10,1.6349199672654231e-10,1.6099752186178e-10,1.5370279999157458e-10,1.0455379171563678e-10,8.272794106502422e-11,8.272794106502422e-11,1.325970796455562e-10,1.24920605110157e-10,1.0162124663585078e-10,9.543656143140566e-11,7.684976068210249e-11,6.501656752660218e-11,7.927658727892504e-11,1.6636689711043335e-11,1.9964027653252004e-11,2.4955034566565004e-11
sh00003931,women museum directors,2000,1.429344351211448e-10,1.2538761418046108e-10,1.1392335512450114e-10,1.1369695115948097e-10,1.2170026296244784e-10,7.220172277515907e-11,6.353453626301814e-11,6.25020625533157e-11,5.4616301065069095e-11,5.408016494940731e-11,6.756331605295429e-11,6.649784393765655e-11,1.076578003332353e-10,1.21069647858661e-10,1.1272748805841409e-10,1.191400891632975e-10,2.2604792194815182e-10,1.965164097918391e-10,2.033246289588421e-10,1.6918397288282324e-10,1.554523062853784e-10,2.038847364747655e-10,1.974721353698821e-10,9.660367892532534e-11,9.660367892532534e-11,8.285762007065323e-11,7.583831975109336e-11,1.0917727436396011e-10,5.402746900655992e-11,5.402746900655992e-11,5.427641074679761e-11,6.942383969286782e-11,6.942383969286782e-11,7.71902923524248e-11,3.675207211974372e-11,4.914327228885565e-11,4.914327228885565e-11,3.530508177473912e-11,2.0157652828668914e-11,3.447342064588632e-11,4.2191451721240725e-11,5.0059061558669986e-11,3.766786138955805e-11,3.766786138955805e-11,3.766786138955805e-11,4.394583828781773e-11,3.2692931001276906e-11,1.3768317215501202e-11
sh00004340,canadian women poets,2000,3.6244932576090516e-10,3.009995266922694e-10,2.885676454733588e-10,2.794404182255532e-10,2.580589690350164e-10,3.2208995490564824e-10,4.179140039980592e-10,4.0573810680280936e-10,6.587029641973758e-10,7.245072686631486e-10,8.400681073391806e-10,8.315443314080692e-10,9.04624365495797e-10,9.951792148291512e-10,1.0760059510062092e-09,9.498199548303126e-10,9.391980982614052e-10,8.663341056441049e-10,8.726886515018707e-10,7.575025507649308e-10,5.9857684483625e-10,5.471303985268453e-10,5.524414100780258e-10,5.260665474666431e-10,6.573309912256369e-10,9.845088177235744e-10,1.1212373212427756e-09,1.3688085387375537e-09,1.4282088805257179e-09,1.449796647813782e-09,1.540865122004068e-09,1.5317236804321001e-09,1.2041003868582374e-09,1.1905930447880004e-09,9.693723522298724e-10,9.194831800713693e-10,8.525853237692108e-10,8.843468100673744e-10,7.813430616795562e-10,7.843522220607468e-10,6.44410810427384e-10,5.982991770665208e-10,5.480396969570478e-10,4.929434791903617e-10,3.37481938724103e-10,2.8416396955407064e-10,2.508074241347469e-10,2.3221573882542534e-10
